Area,Capacity,FeederCode,AreaCode
Arch Hall,5594,ST2B13 (kW),ST
Barbarees Hill,636,WP2B2 (kW),WP
Bath Village,1278,WO2B6 (kW),WO
Baxters Road,981,WP2B5 (kW),WP
Bay Street,904,GA2B2 (kW),GA
Belmont Road,857,BE2B3 (kW),BE
Carlton,714,CA2B5 (kW),CA
Carrington,3636,HA2B6 (kW),HA
Chapel Street,100,TY2B4 (kW),TY
D.W.H,834,TY2B9 (kW),TY
Dukes,2409,ST2B15 (kW),ST
Fontabelle 1,3099,TY2B7 (kW),TY
Fontabelle 2,50,TY2B10 (kW),TY
Green Hill,7816,WA2B6 (kW),WA
Hanson (Belmont),546,BE2B1 (kW),BE
Hanson (Central),2351,CE2B3 (kW),CE
Holders Hill,1436,WA2B1 (kW),WA
Holetown (St Thomas),920,ST2B11 (kW),ST
Jackson,627,WA2B5 (kW),WA
Marhill St.,208,GA2B6 (kW),GA
Marhill St.,208,TY2B8 (kW),TY
Marhill St.,208, WP2B6 (kW), W
Mile & A Quarter,1080,CA2B2 (kW),CA
Mile & A Quarter,1080,ST2B16 (kW),ST
Newton,3859,WO2B3 (kW),WO
NIS,163,MA2B2 (kW),MA
Oistins,1006,WO2B5 (kW),WO
Ometa Mall,455,MA2B4 (kW),MA
Roebuck St (WP),310,WP2B4 (kW),WP
Salters,3381,CE2B1 (kW),CE
Sam Lords,4179,HA2B5 (kW),HA
Sandy Lane,113,ST2B18 (kW),ST
Savannah,759,GA2B1 (kW),GA
Seawell,3739,HA2B1 (kW),HA
Sunbury,4648,HA2B2 (kW),HA
Swan Street,14,TY2B6 (kW),TY
Welches,1211,WA2B2 (kW),WA
White Hall,3615,CA2B1 (kW),CA
Whitepark Road,1907,WP2B1 (kW),WP
